district,Dropout_Rate_Sec,Dropout_Rate_HSec,Avg_PTR_district_23_24,%_Schools_Func_Toilets_23_24,%_Schools_Library_23_24,%_Schools_Electricity_23_24,NFHS_Women_10_plus_School,NFHS_Women_Literate,NFHS_Female_Ever_Attended_School,NFHS_Improved_Water,NFHS_Improved_Sanitation,NFHS_Electricity,NFHS_Health_Insurance,NFHS_Early_Marriage,NFHS_Teen_Pregnancy,NFHS_Family_Planning_Modern
NAGARKURNOOL,0.0474740484429065,0.3994363690299615,32.171667192801074,0.4916593503072871,0.8718173836698858,0.8726953467954346,36.0,57.1,51.1,99.6,73.2,99.9,68.6,32.1 ,5.3 ,77.3
NAGAUR,0.0574992394280499,0.1328586428665179,22.980769378611633,0.8451413085559427,0.7677119628339141,0.9508323654665118,32.3,67.8,62.9,96.9,79.0,99.0,90.0,28.2 ,0.9 ,83.4
NAGPUR,-0.0246805011477975,0.1266788390666831,28.767976950806023,0.8736498367244411,0.9791509670936952,0.961567445365486,67.6,94.6,86.5,99.5,88.9,99.5,25.6,7.1 ,0.9 ,84.1
NAINITAL,-0.0397524071526822,0.0287914554390309,27.37522131852706,0.820675105485232,0.92457805907173,0.9377637130801688,55.2,85.4,80.3,93.0,82.4,99.1,60.8,11.3 ,2.0 ,74.7
NALANDA,0.254901206672756,0.2192587537287967,56.91698011771531,0.8303628262253342,0.7530235518777848,0.8997453851050287,28.8,56.1,59.6,98.9,52.5,98.9,12.8,42.0 ,10.0 ,72.3
NALBARI,0.0241763021494073,0.2647929628835014,36.43083724867549,0.5700518902891031,0.859896219421794,0.8747220163083765,41.6,83.9,81.8,99.5,68.1,94.7,52.5,28.1 ,8.6 ,53.3
NALGONDA,0.0489331222197089,0.4021670897131472,31.62974380798868,0.8343734997599616,0.9217474795967356,0.9111857897263562,40.9,62.6,59.8,99.2,76.4,99.9,64.8,28.2 ,6.0 ,78.5
NAMAKKAL,-0.0633544087491455,-0.052807068728379,18.65383267719936,0.783982365907421,0.9904481998530492,0.9904481998530492,55.7,88.9,73.5,99.5,75.2,99.2,68.8,14.2 ,6.5 ,65.2
NAMSAI,0.0838380618425247,0.4882301656495205,29.878048965412745,0.7630331753554502,0.1943127962085308,0.6635071090047393,22.2,67.1,72.1,93.5,75.1,96.5,30.9,26.7 ,11.3 ,69.5
NANDED,0.0134424237724094,0.2952583544911823,31.409770097575382,0.8428610132755351,0.9233270116499592,0.7523706312652397,31.6,71.9,68.1,94.8,68.0,96.4,15.7,32.2 ,8.7 ,68.1
