district,Dropout_Rate_Sec,Dropout_Rate_HSec,Avg_PTR_district_23_24,%_Schools_Func_Toilets_23_24,%_Schools_Library_23_24,%_Schools_Electricity_23_24,NFHS_Women_10_plus_School,NFHS_Women_Literate,NFHS_Female_Ever_Attended_School,NFHS_Improved_Water,NFHS_Improved_Sanitation,NFHS_Electricity,NFHS_Health_Insurance,NFHS_Early_Marriage,NFHS_Teen_Pregnancy,NFHS_Family_Planning_Modern
HOJAI,0.11382839149829400,0.4744937557327310,90.98999652458990,0.9049586776859500,0.8363636363636360,0.9057851239669420,23.1,83.2,79.1,99.9,63.1,96.3,67.4,30.9,15.6,61.1
HOSHANGABAD,0.006974003012245380,0.34510386832469300,33.04829092668290,0.9017905588714050,0.9804666304937600,0.9045035268583830,35.5,73.6,74.0,93.5,68.5,97.2,28.6,16.7,5.2,28.6
HOSHIARPUR,0.03744060050243650,0.060615188941326100,34.2363921449209,0.9563239308462240,0.6278434940855320,1.0,73.2,92.8,89.0,99.9,89.7,99.9,27.7,4.7,1.6,65.6
HYDERABAD,0.01499001793388160,0.3467792610831120,44.95668370256040,0.8955034832172260,0.8850538315389490,0.9882837238758710,63.2,83.6,80.3,99.6,84.4,99.9,48.9,10.6,2.2,71.8
IDUKKI,0.02908931442771520,0.14210834856374400,33.58896320231510,0.9761499148211240,0.9659284497444630,0.9914821124361160,73.2,94.4,93.0,82.3,97.5,99.0,58.1,7.1,2.7,72.3
IMPHAL EAST,0.048439821693907900,0.3158542842483330,18.13664452933170,0.625,0.333984375,0.76171875,49.9,90.0,87.2,90.2,59.5,98.6,7.0,15.2,9.5,50.1
IMPHAL WEST,0.0386043632987777,-0.26875864453665300,18.074434128956600,0.65,0.4462962962962960,0.725925925925926,61.9,92.5,89.0,89.1,58.7,99.4,15.7,15.3,10.9,69.9
INDORE,0.04449648711943800,0.1782771307811600,33.21369729789570,0.8818897637795280,0.9083464566929130,0.9401574803149610,47.7,81.7,78.0,98.9,90.0,100.0,40.3,21.7,4.2,83.4
JABALPUR,0.03196884622351030,0.2854403506368990,33.29505897015950,0.8955223880597020,1.0,0.998223169864961,30.4,72.4,70.0,98.0,61.9,99.7,61.2,-7.2,-13.6,83.0
JAIPUR,0.017114616478234400,0.07462468602137970,32.86137477978980,0.8902068126520680,0.7582116788321170,0.9273114355231140,47.9,73.8,68.1,99.9,79.6,99.5,81.5,23.1,1.8,76.9
