state,district,rural_urban,c1_dropout_rate_b,c1_retention_rate_b,c1_dropout_rate_g,c1_retention_rate_g,c2_dropout_rate_b,c2_retention_rate_b,c2_dropout_rate_g,c2_retention_rate_g,c3_dropout_rate_b,c3_retention_rate_b,c3_dropout_rate_g,c3_retention_rate_g,c4_dropout_rate_b,c4_retention_rate_b,c4_dropout_rate_g,c4_retention_rate_g,c5_dropout_rate_b,c5_retention_rate_b,c5_dropout_rate_g,c5_retention_rate_g,c6_dropout_rate_b,c6_retention_rate_b,c6_dropout_rate_g,c6_retention_rate_g,c7_dropout_rate_b,c7_retention_rate_b,c7_dropout_rate_g,c7_retention_rate_g,c8_dropout_rate_b,c8_retention_rate_b,c8_dropout_rate_g,c8_retention_rate_g,c9_dropout_rate_b,c9_retention_rate_b,c9_dropout_rate_g,c9_retention_rate_g,c10_dropout_rate_b,c10_retention_rate_b,c10_dropout_rate_g,c10_retention_rate_g,c11_dropout_rate_b,c11_retention_rate_b,c11_dropout_rate_g,c11_retention_rate_g,c12_dropout_rate_b,c12_retention_rate_b,c12_dropout_rate_g,c12_retention_rate_g
CHHATTISGARH,BALODABAZAR,Rural,0.0,1.0,0.0,1.0,0.024956597222222224,0.9750434027777778,0.0036312394992141345,0.9963687605007858,0.0,1.0,0.004240282685512367,0.9957597173144876,0.010231185440236105,0.9897688145597638,0.005625528949071539,0.9943744710509285,0.0,1.0,0.0,1.0,0.08545565404999765,0.9145443459500023,0.06759415401911185,0.9324058459808882,0.004932058379466532,0.9950679416205335,0.001891325461330062,0.9981086745386699,0.0198722498225692,0.9801277501774308,0.010570495880615576,0.9894295041193845,0.04450867052023121,0.9554913294797688,0.08404793883665668,0.9159520611633434,0.2919712101768677,0.7080287898231323,0.08814200656613433,0.9118579934338656,0.38341399032116147,0.6165860096788385,0.3299144261698125,0.6700855738301875,0.12125323794251881,0.8787467620574811,0.0315475079335449,0.9684524920664551
CHHATTISGARH,BALODABAZAR,Urban,0.29683867968386796,0.703161320316132,0.25567282321899737,0.7443271767810027,0.043478260869565216,0.9565217391304348,0.034551231135822084,0.965448768864178,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0009721322099805574,0.9990278677900194,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.15970446149474282,0.8402955385052572,0.03533667223149694,0.964663327768503,0.2738916256157635,0.7261083743842365,0.1848194130925508,0.8151805869074492,0.0,1.0,0.0,1.0
CHHATTISGARH,BALRAMPUR,Rural,0.0,1.0,0.0,1.0,0.05174629132110735,0.9482537086788927,0.03845457289465741,0.9615454271053426,0.02136244956088298,0.978637550439117,0.030617283950617285,0.9693827160493828,0.02051811095827602,0.979481889041724,0.011683607898118939,0.988316392101881,0.013415147686939782,0.9865848523130603,0.005144096684226836,0.9948559033157731,0.10438837737653953,0.8956116226234605,0.10764612179879916,0.8923538782012008,0.0,1.0,0.0,1.0,0.005991400577993938,0.994008599422006,0.0044069041498347415,0.9955930958501653,0.18068057080131725,0.8193194291986827,0.16786535182027137,0.8321346481797286,0.33291081937528294,0.667089180624717,0.2216046615867324,0.7783953384132676,0.2809364548494983,0.7190635451505016,0.24820224719101125,0.7517977528089888,0.15303140978816654,0.8469685902118335,0.10962527553269655,0.8903747244673035
CHHATTISGARH,BALRAMPUR,Urban,0.08288110508140109,0.9171188949185989,0.0,1.0,0.07722222222222222,0.9227777777777778,0.0557815223707147,0.9442184776292853,0.014251781472684086,0.9857482185273159,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.18730358265241986,0.8126964173475801,0.20363636363636364,0.7963636363636364,0.0,1.0,0.02616690240452617,0.9738330975954739,0.12263099219620958,0.8773690078037905,0.00437636761487965,0.9956236323851203
CHHATTISGARH,BASTER,Rural,0.0,1.0,0.0,1.0,0.03117292408879145,0.9688270759112085,0.017810993923307955,0.982189006076692,0.009154105581939569,0.9908458944180605,0.0011435105774728416,0.9988564894225271,0.012882219705549263,0.9871177802944507,0.0,1.0,0.0035335689045936395,0.9964664310954063,0.0,1.0,0.043029898360412495,0.9569701016395875,0.04148104871102023,0.9585189512889798,0.0,1.0,0.0,1.0,0.0007493131296311714,0.9992506868703688,0.0,1.0,0.0,1.0,0.06354818239506844,0.9364518176049316,0.23283283283283282,0.7671671671671672,0.12655601659751037,0.8734439834024896,0.10105473204104903,0.8989452679589509,0.0883671854391981,0.9116328145608019,0.09603925692253767,0.9039607430774623,0.047849283094364786,0.9521507169056352
CHHATTISGARH,BASTER,Urban,0.314251875246743,0.6857481247532571,0.24230931310577328,0.7576906868942267,0.06343906510851419,0.9365609348914858,0.04303388918773534,0.9569661108122647,0.0,1.0,0.0,1.0,0.008381351492928235,0.9916186485070717,0.0005350454788657035,0.9994649545211343,0.007466973004020678,0.9925330269959793,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0029354207436399216,0.99706457925636,0.0,1.0,0.0,1.0,0.21542056074766355,0.7845794392523364,0.094279176201373,0.905720823798627,0.1337099811676083,0.8662900188323917,0.03761283851554664,0.9623871614844534,0.17818428184281843,0.8218157181571816,0.11052937754508435,0.8894706224549156
CHHATTISGARH,BEMETARA,Rural,0.0,1.0,0.0,1.0,0.012252998533091725,0.9877470014669083,0.012385241642127143,0.9876147583578728,0.0,1.0,0.0,1.0,0.002065957609610529,0.9979340423903895,0.0,1.0,0.0,1.0,0.0,1.0,0.05202608631933758,0.9479739136806624,0.05301989150090416,0.9469801084990959,0.010120225232080353,0.9898797747679197,0.006848799578535411,0.9931512004214645,0.022225652106806607,0.9777743478931934,0.010947028139005216,0.9890529718609948,0.0,1.0,0.033993924490091136,0.9660060755099089,0.379224297732782,0.620775702267218,0.15829277424185698,0.841707225758143,0.4561579651941098,0.5438420348058902,0.38336787097936753,0.6166321290206325,0.11683126707291448,0.8831687329270855,0.062274909963985596,0.9377250900360145
CHHATTISGARH,BEMETARA,Urban,0.3525091799265606,0.6474908200734394,0.2674124864669794,0.7325875135330207,0.01671583087512291,0.983284169124877,0.017311608961303463,0.9826883910386965,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2068676716917923,0.7931323283082077,0.051170170567235225,0.9488298294327647,0.03223949337938975,0.9677605066206103,0.0,1.0,0.014799154334038054,0.985200845665962,0.02128712871287129,0.9787128712871287
CHHATTISGARH,BIJAPUR,Rural,0.0,1.0,0.0,1.0,0.13685833484491203,0.863141665155088,0.12140683124788637,0.8785931687521136,0.1065613257539262,0.8934386742460738,0.13849845731916352,0.8615015426808365,0.13719107896323085,0.8628089210367691,0.1308698999230177,0.8691301000769823,0.13588777219430487,0.8641122278056952,0.08525547445255474,0.9147445255474452,0.2640564112080163,0.7359435887919836,0.20122960510759044,0.7987703948924095,0.0,1.0,0.08278050187481972,0.9172194981251802,0.04945781539275324,0.9505421846072467,0.05292755540853457,0.9470724445914654,0.2237442922374429,0.7762557077625571,0.29413906079359303,0.705860939206407,0.05508474576271186,0.9449152542372882,0.049456521739130434,0.9505434782608696,0.3114909781576448,0.6885090218423552,0.2860635696821516,0.7139364303178484,0.06340718105423988,0.9365928189457601,0.060948081264108354,0.9390519187358917
CHHATTISGARH,BIJAPUR,Urban,0.21499176276771004,0.78500823723229,0.3238180196253345,0.6761819803746655,0.12736842105263158,0.8726315789473684,0.04310344827586207,0.9568965517241379,0.005636978579481398,0.9943630214205186,0.025193798449612403,0.9748062015503876,0.0,1.0,0.021464646464646464,0.9785353535353536,0.0,1.0,0.05333333333333334,0.9466666666666667,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00628140703517588,0.9937185929648241,0.0,1.0,0.0,1.0,0.0,1.0,0.1554140127388535,0.8445859872611465,0.0,1.0,0.0,1.0,0.057754010695187166,0.9422459893048128,0.01824212271973466,0.9817578772802653,0.06280788177339902,0.937192118226601
